Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,East West Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Azimuth Angle,Tilt Angle,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW)
59462,"Heelstone Energy Holdings, LLC",61019,"Siler 421 Farm, LLC",NC,Chatham,SILER,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5,4.9,4.9,12,2016,,,,Y,,,,,,,180,20,6.9,Y,,,,,,N, ,N, 
6452,Florida Power & Light Co,61020,Indian River Solar Center,FL,Indian River,1,OP,Solar Photovoltaic,PV,Electric Utility,1,74.5,74.5,74.5,1,2018,,,,Y,,,,,,,195,20,114,Y,,,,,,N, ,N, 
6452,Florida Power & Light Co,61021,Horizon Solar Energy Center,FL,Putnam,1,OP,Solar Photovoltaic,PV,Electric Utility,1,74.5,74.5,74.5,1,2018,,,,Y,,,,,,,195,20,114,Y,,,,,,N, ,N, 
6452,Florida Power & Light Co,61022,Coral Farms Solar Energy Center,FL,Putnam,1,OP,Solar Photovoltaic,PV,Electric Utility,1,74.5,74.5,74.5,1,2018,,,,Y,,,,,,,195,20,114,Y,,,,,,N, ,N, 
19876,Virginia Electric & Power Co,61023,Hollyfield,VA,King William,1,OP,Solar Photovoltaic,PV,Electric Utility,1,17,6.8, ,9,2018,,N,,,,,,,,Y, , ,22.5,Y,,,,,,N, ,N, 
6452,Florida Power & Light Co,61024,Hammock Solar,FL,Hendry,1,OP,Solar Photovoltaic,PV,Electric Utility,1,74.5,74.5,74.5,3,2018,,,,Y,,,,,,,195,20,113.2,Y,,,,,,N, ,N, 
6452,Florida Power & Light Co,61029,Blue Cypress Solar Energy Center,FL,Indian River,1,OP,Solar Photovoltaic,PV,Electric Utility,1,74.5,74.5,74.5,3,2018,,,,Y,,,,,,,195,20,113.2,Y,,,,,,N, ,N, 
60669,Laertes Solar LLC,61030,Harford Solar Farm,NY,Tompkins,CMUSW,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2,2,2,12,2016,,,,Y,,,,,,,180,20,2.8,Y,,,,,,N, ,N, 
60025,Greenbacker Renewable Energy Corporation,61031,Floyd Road Solar Farm,NC,Northampton,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5,5,5,6,2017,,Y,,,,,,,,,0, ,6.8,Y,,,,,,N, ,N, 
60571,"AEP Onsite Partners, LLC",61042,Canandaigua Westbrook Solar Array,NY,Ontario,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.3,1.3,1.3,3,2017,,N,,Y,,,,,,,180,25,1.6,Y,,,,,,Y,1.6,N, 
