BusID,Name,Latitude,Longitude
13308,LA-MPF-B,,
13309,TA-3,35.875502,-106.32123
13310,TA-3-AL,,
13311,TA-3-BL,,
13314,WHITEROK,35.828457,-106.21167
13320,STA,35.810968,-106.233607
13321,WTA,35.867847,-106.336174
13322,WTA,,
13323,ETA-B,,
13400,ARTESIA,,
13401,ARTESIAR,32.84765,-104.390925
13402,BLACKWTR,34.301924,-103.170959
13500,ELBUT_US,33.15339,-107.192263
13501,ELBUT_US,,
13600,TASS_BREAKER,34.489061,-103.146876
13601,BV_POI_3-T~1,34.489061,-103.146876
13602,SUB_BEJN,34.792925,-103.057651
13603,SUB_BEKW,34.748334,-103.10108
13604,BEJN2_COLLEC,,
13605,BEJN1_COLLEC,,
13606,BEKW_COLLEC,,
13607,BEJN1_LINO,,
13608,BEJN2_LINO,,
13609,BEKW_LINO,,
13610,BEKW_TURB,,
13611,BEJN1_TURB,,
13612,BEJN2_TURB,,
13613,GRADYNM,34.749886,-103.338514
13614,GRADYNM11,,
13615,GRADYNM22,,
13616,GRADYNM1,,
13617,GRADYNM2,,
13618,GRADYNM1,,
13619,GRADYNM2,,
13620,GRADYNM1_MPT,,
13621,GRADYNM2_MPT,,
13622,GRADYNM1_LVC,,
13623,GRADYNM2_LVC,,
13624,GRADYNM1_TR,,
13625,GRADYNM2_TR,,
14000,CHOLLA,34.939178,-110.305445
14001,FOURCORN,36.688118,-108.485426
14002,MOENKOPI,35.833242,-111.448919
14003,NAVAJO,36.903413,-111.395752
14004,SAGUARO,32.551467,-111.299693
14005,WESTWING,33.709298,-112.325226
14006,YAVAPAI,34.757207,-112.230553
14009,REDHAWK,33.335656,-112.84471
14010,SNVLY,33.668293,-112.689968
14011,MORGAN,33.803506,-112.274694
14012,DELANY,33.481735,-113.034963
14014,CEDARMT,35.41324,-112.214557
14016,PNPKAPS,33.701262,-111.937489
14018,DUGAS,34.408123,-112.110635
14021,AGUACAL1,32.973307,-113.494789
14039,WHTN T12,,
14045,PCC,33.706638,-112.327868
14046,T2,33.347303,-112.853428
14053,CH-FUT1,,
14054,CH-FUT2,,
14055,CH-FUT3,,
14064,WESTWG 3,,
14065,FC-CH SC1,,
14066,FC-CH SC2,,
14067,CH-SAG SC1,,
