plant_code,plant_code_unique,plant_name,generator_id,state,county,ba,nerc_region,azimuth,tilt,system_capacity,module_type,array_type,lat,lon,losses
63786,63786,Ben Moreell Solar Farm,BMSF,NJ,Monmouth,PJM,RFC,180,20,20000,0,0,40.28,-74.1,14
63790,63790,Illinois PV Fulton 1 CSG,FULT,IL,Fulton,MISO,SERC,180,52,2000,0,2,40.698522,-89.967943,14
63791,63791,Sobania Community Solar LLC,SOB01,MN,Sherburne,MISO,MRO,180,30,1000,0,0,45.42,-94.02,14
63794,63794,Stevens Community Solar LLC,ST001,MN,Benton,MISO,MRO,180,30,1000,0,0,45.662,-93.94,14
63795,63795,"Alkali Solar, LLC",2,OR,Lake,BPAT,WECC,180,43.31942,10000,0,2,43.31942,-121.0035,14
63796,63796,"West Hines Solar I, LLC",1,OR,Harney,BPAT,WECC,180,43.50259,10000,0,2,43.50259,-119.14713,14
63800,63800,NY - CSG - Ellsworth II,23,NY,Saratoga,NYIS,NPCC,0,25,2000,0,2,42.899691,-73.707473,14
63804,63804,Partridgeville Hybrid CSG,PAR,MA,Worcester,ISNE,NPCC,25,25,3300,0,0,42.571449,-72.257389,14
63810,63810,"Centerfield Cooper Solar, LLC",PGR24,SC,Chesterfield,SC,SERC,180,60,75000,0,2,34.708762,-80.118838,14
63814,63814,SR Odom,ODOM,GA,Colquitt,SOCO,SERC,0,31.06987,20000,2,2,31.06987,-83.596183,14
63817,63817,"Hinterland CSG, LLC",HIN01,MN,Sherburne,MISO,MRO,180,2,1000,0,2,45.416,-94.01,14
63819,63819,"Betcher CSG 1, LLC",BET01,MN,Goodhue,MISO,MRO,180,30,1000,0,0,44.392,-92.595,14
63820,63820,"Huneke CSG 1, LLC",HUN01,MN,Goodhue,MISO,MRO,180,2,1000,0,2,44.297,-92.736,14
63821,63821,"Huneke CSG 2, LLC",HUN02,MN,Goodhue,MISO,MRO,180,2,1000,0,2,44.263,-92.669,14
63825,63825,Lineage Logistics Solar,LLCHI,IL,Will,PJM,RFC,180,20,1600,0,0,41.455,-87.752,14
